,Trending,Random,Seasonal,Random_Seasonal,Trending_Random,Trending_Random_Seasonal
2024-01-01 00:00:00,95.0,99.54459577389399,100.0,99.98209333226868,97.80881588426693,98.3164694950486
2024-01-01 00:01:00,95.01333333333334,99.66897632852252,100.31395259764656,100.70148473586923,97.54886046050306,98.47310102120717
2024-01-01 00:02:00,95.02666666666667,99.78489610981595,100.62666616782153,100.51137921915145,97.33596618787996,98.42697190274062
2024-01-01 00:03:00,95.04,100.58936443873905,100.93690657292862,101.01356521194938,97.36686137317145,98.62905792425903
2024-01-01 00:04:00,95.05333333333333,100.84132451153958,101.24344943582427,100.56178752604427,97.97402193663541,98.61833712641534
2024-01-01 00:05:00,95.06666666666666,100.02024123996378,101.54508497187474,101.11228999050365,96.90283116268003,98.83339298174474
2024-01-01 00:06:00,95.08,98.57685587964181,101.84062276342338,101.00885689716289,97.43305357920713,99.32487803044008
2024-01-01 00:07:00,95.09333333333333,100.91778911921261,102.12889645782536,100.84044404101095,97.28774472314495,99.67269315982223
2024-01-01 00:08:00,95.10666666666667,99.08715304473826,102.40876837050858,101.14981789724808,98.41848382536119,99.08312544505459
2024-01-01 00:09:00,95.12,99.72136674053985,102.67913397489498,101.80002591731248,97.66469605780844,99.7205176007675
2024-01-01 00:10:00,95.13333333333333,100.90571191372783,102.93892626146237,101.37325754159932,97.71368042691404,99.73434075928412
2024-01-01 00:11:00,95.14666666666666,101.2123485479625,103.18711994874344,101.36714155778958,98.33784085461792,99.30359276996093
2024-01-01 00:12:00,95.16,102.75640392486281,103.42273552964345,100.7423286405125,97.60170278283664,99.19064760908867
2024-01-01 00:13:00,95.17333333333333,99.59195506701658,103.64484313710706,101.95599327489276,97.36464421419748,100.40174473052868
2024-01-01 00:14:00,95.18666666666667,99.68262991306375,103.85256621387894,101.77840279283944,96.93359890163248,99.48234007492054
2024-01-01 00:15:00,95.2,102.26900363197467,104.04508497187473,101.51498630843494,97.30933996724497,99.32487720987343
2024-01-01 00:16:00,95.21333333333334,97.76503789767737,104.22163962751007,102.29184953230418,97.61615734352809,100.14323183850706
2024-01-01 00:17:00,95.22666666666666,100.22368085320882,104.38153340021933,101.6232017385191,97.97126979719594,99.36531559456762
2024-01-01 00:18:00,95.24,99.21205177258393,104.5241352623301,102.72605746410781,97.65953549073043,99.72248961194003
2024-01-01 00:19:00,95.25333333333333,99.90974267632664,104.64888242944126,100.64778311638514,98.62957816577116,99.82322364095434
2024-01-01 00:20:00,95.26666666666667,99.46615470784313,104.75528258147577,102.96158756301467,97.11797944548334,99.5741790423376
2024-01-01 00:21:00,95.28,100.6022542012939,104.84291580564316,102.01356623197765,97.56607435169863,100.03947845561181
2024-01-01 00:22:00,95.29333333333334,99.7750356272234,104.91143625364344,101.7142158247928,97.33252470558391,100.28034766124834
2024-01-01 00:23:00,95.30666666666667,99.80083397180262,104.96057350657239,102.33986874600183,97.15561961450899,99.92558226091644
2024-01-01 00:24:00,95.32,100.13586845393898,104.99013364214136,102.80566602611643,98.09782123898866,100.3926854997019
2024-01-01 00:25:00,95.33333333333333,100.43373436923643,105.0,102.1028740065294,98.0171579020833,99.97443764687527
2024-01-01 00:26:00,95.34666666666666,99.18565647647229,104.99013364214136,102.66247152135554,97.86648069936099,100.15644762928389
2024-01-01 00:27:00,95.36,100.37969242109608,104.96057350657239,102.19818318871864,97.65786201290565,99.74810569027242
2024-01-01 00:28:00,95.37333333333333,99.20234952351505,104.91143625364344,102.13997903068169,96.85594933413557,100.57984420417255
2024-01-01 00:29:00,95.38666666666667,100.28699183554235,104.84291580564316,102.14726556796961,97.6777738779555,99.98568647003147
2024-01-01 00:30:00,95.4,101.2556713704797,104.75528258147577,102.35029030558067,98.55618320512872,100.03541004468703
2024-01-01 00:31:00,95.41333333333333,98.72788900833487,104.64888242944126,101.94414802954984,97.95809635344219,100.2194253445043
2024-01-01 00:32:00,95.42666666666666,97.7541123617762,104.52413526233009,102.54337282838102,98.18143366495916,100.56175139502783
2024-01-01 00:33:00,95.44,99.47824146095908,104.38153340021931,102.88679945514725,97.16537236707445,99.87417792427651
2024-01-01 00:34:00,95.45333333333333,100.97273637968527,104.22163962751007,102.67461862145478,96.94546616993571,100.14986123814678
2024-01-01 00:35:00,95.46666666666667,101.45405669069355,104.04508497187474,102.29385514371103,97.74349370623484,99.86918137733706
2024-01-01 00:36:00,95.48,98.22857011022506,103.85256621387894,101.81635827182205,97.87780285841455,99.67441802189045
2024-01-01 00:37:00,95.49333333333334,100.31379904366564,103.64484313710706,101.28309487794084,97.59915823536483,99.90823535793548
2024-01-01 00:38:00,95.50666666666666,100.03627107742015,103.42273552964345,101.8606543739215,97.0275582264578,99.43810196825592
2024-01-01 00:39:00,95.52,99.97531043211607,103.18711994874344,101.92461961899227,98.20734573633453,99.68259308668011
2024-01-01 00:40:00,95.53333333333333,100.55728321523718,102.93892626146237,101.18799948732217,98.14704839762504,98.83861380292205
2024-01-01 00:41:00,95.54666666666667,99.29997379512109,102.67913397489498,100.80508875055096,97.51857457643601,99.44727582182288
2024-01-01 00:42:00,95.56,99.79585348900449,102.40876837050858,101.28407115237994,98.6916357243166,99.38574071186066
2024-01-01 00:43:00,95.57333333333334,99.39591955247056,102.12889645782536,101.37596679046723,97.3279089073884,98.58774665931493
2024-01-01 00:44:00,95.58666666666667,101.89707419808957,101.8406227634234,100.8305358682884,98.38075731397788,99.04861737218357
2024-01-01 00:45:00,95.6,100.48354398004763,101.54508497187474,100.11076728624496,97.97143610804557,99.45283689699791
2024-01-01 00:46:00,95.61333333333333,99.1444821187567,101.24344943582427,101.33452522882119,97.0015627582202,98.95381289814732
2024-01-01 00:47:00,95.62666666666667,100.56128054988523,100.93690657292862,100.79745084161857,98.06280246915964,98.30675889616828
2024-01-01 00:48:00,95.64,100.06406653589127,100.62666616782153,100.30173843151303,97.72927687088773,98.18444241870628
2024-01-01 00:49:00,95.65333333333334,99.71386413599546,100.31395259764656,98.96021179032167,97.12149424180151,98.93585715203483
2024-01-01 00:50:00,95.66666666666667,100.12603600913575,100.0,101.33658494979045,97.62092101934837,98.35200267808358
2024-01-01 00:51:00,95.68,100.99712979711461,99.68604740235344,99.8914692443553,97.83027715576983,98.55986299161735
2024-01-01 00:52:00,95.69333333333333,99.68580834691822,99.37333383217847,99.09690134994369,98.21871855042392,98.18262489552284
2024-01-01 00:53:00,95.70666666666666,101.2834760291404,99.06309342707138,100.05876784637331,98.50109884160084,98.9263152605936
